"","x"
"1344",554.7923
"1345",13.2267
"1346",666.30265
"1347",759.1466
"1348",669.1828
"1349",380.5138
"1350",681.3423
"1351",424.3243
"1352",635.2298
"1353",461.1397
"1354",775.8437
"1355",832.79445
"1356",630.4782
"1357",576.9753
"1358",597.3252
"1359",14.1988
"1360",1140.0817
"1361",0
"1362",514.56115
"1363",1.1053
"1364",75.92375
"1365",1.0005
"1366",10.10225
"1367",10.60685
"1368",30.7877
"1369",1.5049
"1370",0.0696
"1371",0.3498
"1372",2308.2726
"1373",96.5886
"1374",1538.4615
"1375",900.7385
"1376",20.097
"1377",90.5945
"1378",12.7565
"1379",194.0322
"1380",668.5685
"1381",394.1689
"1382",168.2887
"1383",215.136
"1384",544.3796
"1385",229.0467
"1386",306.95105
"1387",339.4496
"1388",164.02195
"1389",324.7353
"1390",239.79145
"1391",1.1227
"1392",383.1945
"1393",253.7246
"1394",618.10125
"1395",700
"1396",588.7109
"1397",1271.2146
"1398",594.36145
"1399",603.4917
"1400",730.9269
"1401",376.1794
"1402",999.6469
"1403",911.1562
"1404",6.1212
"1405",1625.4386
"1406",1801.76005
"1407",673.6496
"1408",2251.6521
"1409",3081.3169
"1410",1641.48765
"1411",1603.8682
"1412",46.13245
"1413",5465.5335
"1414",523.0379
"1415",218.726
"1416",596.62285
"1417",395.1286
"1418",486.8889
"1419",292.873
"1420",1954.4954
"1421",513.6281
"1422",403.3404
"1423",868.90515
"1424",1166.1689
"1425",515.4394
"1426",354.388
"1427",2.4848
"1428",247.2679
"1429",0.4894
"1430",0.5684
"1431",2.2425
"1432",0.5247
"1433",0
"1434",6.3781
"1435",6.012
"1436",17.175
"1437",8.3019
"1438",14.2308
"1439",0.07555
"1440",223.24775
"1441",172.94985
"1442",120.7228
"1443",145.9998
"1444",212.282
"1445",141.33135
"1446",273.6899
"1447",39.5203
"1448",71.1396
"1449",0.4483
"1450",1217.8505
"1451",1660.1942
"1452",933.1467
"1453",1496.4927
"1454",1777.9974
"1455",2837.54725
"1456",1091.8661
"1457",1694.0204
"1458",1507.0731
"1459",2271.89925
"1460",1277.6249
"1461",588.9074
"1462",1684.97335
"1463",6.3228
"1464",2005.7477
"1465",360.0574
"1466",934.3254
"1467",1091.3814
"1468",1230.6114
"1469",834.8943
"1470",2038.58475
"1471",319.8287
"1472",363.9224
"1473",657.175
"1474",1864.6492
"1475",312.5048
"1476",1252.29935
"1477",12.82585
"1478",1169.079
"1479",516.129
"1480",262.874
"1481",683.06085
"1482",610.8026
"1483",326.1856
"1484",421.7158
"1485",721.8814
"1486",784.6846
"1487",714.7923
"1488",0
"1489",0
"1490",267.6587
"1491",102.5992
"1492",206.9424
"1493",832.969
"1494",584.6636
"1495",265.2443
"1496",3.6768
"1497",812.0811
"1498",279.9143
"1499",268.9333
"1500",329.0925
"1501",324.0664
"1502",332.8171
"1503",505.9382
"1504",285.3652
"1505",393.3048
"1506",2.7294
"1507",1646.5356
"1508",2334.90735
"1509",1508.714
"1510",1600.60525
"1511",1839.9577
"1512",1493.3478
"1513",1254.529
"1514",37.6601
"1515",2040.6022
"1516",218.148
"1517",776.54735
"1518",203.47135
"1519",550.8675
"1520",830.4262
"1521",705.4377
"1522",512.1586
"1523",462.3538
"1524",727.8624
"1525",3.3683
"1526",152.89
"1527",227.80255
"1528",139.3012
"1529",260.0575
"1530",107.22805
"1531",415.39765
"1532",8.7663
"1533",2210.7769
"1534",2094.66735
"1535",1779.11
"1536",2126.5182
"1537",2115.9904
"1538",19.7652
"1539",0.5803
"1540",0.5967
"1541",0
"1542",0.77005
"1543",3.1362
"1544",0
"1545",1.00685
"1546",16.8683
"1547",398.53475
"1548",0.41925
"1549",0.00675
"1550",232.7044
"1551",389.7863
